country_name,country_code,dbpedia_uri
Afghanistan,AFG,http://dbpedia.org/resource/Afghanistan
Albania,ALB,http://dbpedia.org/resource/Albania
Algeria,DZA,http://dbpedia.org/resource/Algeria
Andorra,AND,http://dbpedia.org/resource/Andorra
Angola,AGO,http://dbpedia.org/resource/Angola
Antigua and Barbuda,ATG,http://dbpedia.org/resource/Antigua_and_Barbuda
Argentina,ARG,http://dbpedia.org/resource/Argentina
Armenia,ARM,http://dbpedia.org/resource/Armenia
Australia,AUS,http://dbpedia.org/resource/Australia
Austria,AUT,http://dbpedia.org/resource/Austria
Azerbaijan,AZE,http://dbpedia.org/resource/Azerbaijan
Bahrain,BHR,http://dbpedia.org/resource/Bahrain
Bangladesh,BGD,http://dbpedia.org/resource/Bangladesh
Barbados,BRB,http://dbpedia.org/resource/Barbados
Belarus,BLR,http://dbpedia.org/resource/Belarus
Belgium,BEL,http://dbpedia.org/resource/Belgium
Belize,BLZ,http://dbpedia.org/resource/Belize
Benin,BEN,http://dbpedia.org/resource/Benin
Bhutan,BTN,http://dbpedia.org/resource/Bhutan
Bolivia,BOL,http://dbpedia.org/resource/Bolivia
Bosnia and Herzegovina,BIH,http://dbpedia.org/resource/Bosnia_and_Herzegovina
Botswana,BWA,http://dbpedia.org/resource/Botswana
Brazil,BRA,http://dbpedia.org/resource/Brazil
Brunei,BRN,http://dbpedia.org/resource/Brunei
Bulgaria,BGR,http://dbpedia.org/resource/Bulgaria
Burkina Faso,BFA,http://dbpedia.org/resource/Burkina_Faso
Burundi,BDI,http://dbpedia.org/resource/Burundi
Cambodia,KHM,http://dbpedia.org/resource/Cambodia
Cameroon,CMR,http://dbpedia.org/resource/Cameroon
Canada,CAN,http://dbpedia.org/resource/Canada
Cape Verde,CPV,http://dbpedia.org/resource/Cape_Verde
Central African Republic,CAF,http://dbpedia.org/resource/Central_African_Republic
Chad,TCD,http://dbpedia.org/resource/Chad
Chile,CHL,http://dbpedia.org/resource/Chile
China,CHN,http://dbpedia.org/resource/China
Colombia,COL,http://dbpedia.org/resource/Colombia
Comoros,COM,http://dbpedia.org/resource/Comoros
Costa Rica,CRI,http://dbpedia.org/resource/Costa_Rica
Croatia,HRV,http://dbpedia.org/resource/Croatia
Cuba,CUB,http://dbpedia.org/resource/Cuba
Cyprus,CYP,http://dbpedia.org/resource/Cyprus
