country_name,country_code,gdp_per_capita,dbpedia_uri
Afghanistan,AFG,510.787063366811,http://dbpedia.org/resource/Afghanistan
Angola,AGO,1759.35619918264,http://dbpedia.org/resource/Angola
Albania,ALB,6027.91350716348,http://dbpedia.org/resource/Albania
Andorra,AND,37361.1070081615,http://dbpedia.org/resource/Andorra
United Arab Emirates,ARE,37991.7492971665,http://dbpedia.org/resource/United_Arab_Emirates
Argentina,ARG,8535.59938004389,http://dbpedia.org/resource/Argentina
Armenia,ARM,4268.68093304583,http://dbpedia.org/resource/Armenia
Antigua and Barbuda,ATG,15369.6082250401,http://dbpedia.org/resource/Antigua_and_Barbuda
Australia,AUS,51983.4523666382,http://dbpedia.org/resource/Australia
Austria,AUT,48716.4098900349,http://dbpedia.org/resource/Austria
Azerbaijan,AZE,4229.91064904503,http://dbpedia.org/resource/Azerbaijan
Burundi,BDI,255.8324539389,http://dbpedia.org/resource/Burundi
Belgium,BEL,45906.2875805246,http://dbpedia.org/resource/Belgium
Benin,BEN,1200.19426557789,http://dbpedia.org/resource/Benin
Burkina Faso,BFA,825.237038782475,http://dbpedia.org/resource/Burkina_Faso
Bangladesh,BGD,2248.85078828233,http://dbpedia.org/resource/Bangladesh
Bulgaria,BGR,10760.211975413,http://dbpedia.org/resource/Bulgaria
Bahrain,BHR,24342.8444554718,http://dbpedia.org/resource/Bahrain
The Bahamas,BHS,26178.7537607708,http://dbpedia.org/resource/The_Bahamas
Bosnia and Herzegovina,BIH,6130.31187968266,http://dbpedia.org/resource/Bosnia_and_Herzegovina
Belarus,BLR,6542.85579976768,http://dbpedia.org/resource/Belarus
Belize,BLZ,5238.54078175696,http://dbpedia.org/resource/Belize
Bolivia,BOL,3580.96761778303,http://dbpedia.org/resource/Bolivia
Brazil,BRA,7074.19407495707,http://dbpedia.org/resource/Brazil
Barbados,BRB,19194.4919736739,http://dbpedia.org/resource/Barbados
Brunei,BRN,26834.3592233943,http://dbpedia.org/resource/Brunei
Bhutan,BTN,3191.66906999331,http://dbpedia.org/resource/Bhutan
Botswana,BWA,6323.2974967659,http://dbpedia.org/resource/Botswana
Central African Republic,CAF,462.879071294011,http://dbpedia.org/resource/Central_African_Republic
Canada,CAN,43537.839298904,http://dbpedia.org/resource/Canada
Switzerland,CHE,85897.7843338323,http://dbpedia.org/resource/Switzerland
Chile,CHL,13114.815470545,http://dbpedia.org/resource/Chile
China,CHN,10627.4637989619,http://dbpedia.org/resource/China
Ivory Coast,CIV,2179.72934832935,http://dbpedia.org/resource/Ivory_Coast
Cameroon,CMR,1555.60370660749,http://dbpedia.org/resource/Cameroon
Democratic Republic of the Congo,COD,486.425572682256,http://dbpedia.org/resource/Democratic_Republic_of_the_Congo
Republic of the Congo,COG,1993.586671931,http://dbpedia.org/resource/Republic_of_the_Congo
Colombia,COL,5339.68711357943,http://dbpedia.org/resource/Colombia
Comoros,COM,1519.34665556206,http://dbpedia.org/resource/Comoros
Cape Verde,CPV,3539.22661248299,http://dbpedia.org/resource/Cape_Verde
Costa Rica,CRI,12394.0493969492,http://dbpedia.org/resource/Costa_Rica
Cuba,CUB,9605.27914559614,http://dbpedia.org/resource/Cuba
Cyprus,CYP,28130.341796875,http://dbpedia.org/resource/Cyprus
Czech Republic,CZE,23472.8915454417,http://dbpedia.org/resource/Czech_Republic
Germany,DEU,47394.8734504469,http://dbpedia.org/resource/Germany
Djibouti,DJI,2844.88810647853,http://dbpedia.org/resource/Djibouti
Dominica,DMA,7827.74842680426,http://dbpedia.org/resource/Dominica
Denmark,DNK,60985.4885601514,http://dbpedia.org/resource/Denmark
Dominican Republic,DOM,7135.22273255899,http://dbpedia.org/resource/Dominican_Republic
Algeria,DZA,3743.5419522929,http://dbpedia.org/resource/Algeria
Ecuador,ECU,5463.64515348598,http://dbpedia.org/resource/Ecuador
Egypt,EGY,3511.11381026379,http://dbpedia.org/resource/Egypt
Spain,ESP,27233.9426461608,http://dbpedia.org/resource/Spain
Estonia,EST,23933.9939421065,http://dbpedia.org/resource/Estonia
Ethiopia,ETH,829.790982547947,http://dbpedia.org/resource/Ethiopia
Finland,FIN,48828.6846862799,http://dbpedia.org/resource/Finland
Fiji,FJI,4620.6457238014,http://dbpedia.org/resource/Fiji
France,FRA,39169.8606000707,http://dbpedia.org/resource/France
Federated States of Micronesia,FSM,3362.02802120524,http://dbpedia.org/resource/Federated_States_of_Micronesia
Gabon,GAB,6605.80346077565,http://dbpedia.org/resource/Gabon
United Kingdom,GBR,40812.6794663879,http://dbpedia.org/resource/United_Kingdom
Georgia,GEO,4300.85701291207,http://dbpedia.org/resource/Georgia
Ghana,GHA,2195.45481659987,http://dbpedia.org/resource/Ghana
Guinea,GIN,1053.66097696415,http://dbpedia.org/resource/Guinea
The Gambia,GMB,720.335143352133,http://dbpedia.org/resource/The_Gambia
Guinea Bissau,GNB,846.915855715971,http://dbpedia.org/resource/Guinea_Bissau
Equatorial Guinea,GNQ,5764.05502912947,http://dbpedia.org/resource/Equatorial_Guinea
Greece,GRC,17886.733165236,http://dbpedia.org/resource/Greece
Grenada,GRD,8968.55890108484,http://dbpedia.org/resource/Grenada
Guatemala,GTM,4477.61785000665,http://dbpedia.org/resource/Guatemala
Guyana,GUY,6775.70939096303,http://dbpedia.org/resource/Guyana
Honduras,HND,2307.61494319511,http://dbpedia.org/resource/Honduras
Croatia,HRV,14807.5608543265,http://dbpedia.org/resource/Croatia
Haiti,HTI,1290.32538667383,http://dbpedia.org/resource/Haiti
Hungary,HUN,16386.9308821258,http://dbpedia.org/resource/Hungary
