country_name,country_code,life_expectancy,dbpedia_uri
Afghanistan,AFG,61.454,http://dbpedia.org/resource/Afghanistan
Angola,AGO,63.116,http://dbpedia.org/resource/Angola
Albania,ALB,77.824,http://dbpedia.org/resource/Albania
Andorra,AND,79.418,http://dbpedia.org/resource/Andorra
United Arab Emirates,ARE,81.936,http://dbpedia.org/resource/United_Arab_Emirates
Argentina,ARG,75.878,http://dbpedia.org/resource/Argentina
Armenia,ARM,73.3756097560976,http://dbpedia.org/resource/Armenia
Antigua and Barbuda,ATG,77.161,http://dbpedia.org/resource/Antigua_and_Barbuda
Australia,AUS,83.2,http://dbpedia.org/resource/Australia
Austria,AUT,81.1926829268293,http://dbpedia.org/resource/Austria
Azerbaijan,AZE,70.312,http://dbpedia.org/resource/Azerbaijan
Burundi,BDI,62.569,http://dbpedia.org/resource/Burundi
Belgium,BEL,80.6951219512195,http://dbpedia.org/resource/Belgium
Benin,BEN,60.154,http://dbpedia.org/resource/Benin
Burkina Faso,BFA,60.454,http://dbpedia.org/resource/Burkina_Faso
Bangladesh,BGD,71.421,http://dbpedia.org/resource/Bangladesh
Bulgaria,BGR,73.3560975609756,http://dbpedia.org/resource/Bulgaria
Bahrain,BHR,78.683,http://dbpedia.org/resource/Bahrain
The Bahamas,BHS,72.994,http://dbpedia.org/resource/The_Bahamas
Bosnia and Herzegovina,BIH,76.04,http://dbpedia.org/resource/Bosnia_and_Herzegovina
Belarus,BLR,72.1385609756098,http://dbpedia.org/resource/Belarus
Belize,BLZ,71.58,http://dbpedia.org/resource/Belize
Bolivia,BOL,62.906,http://dbpedia.org/resource/Bolivia
Brazil,BRA,74.506,http://dbpedia.org/resource/Brazil
Barbados,BRB,76.647,http://dbpedia.org/resource/Barbados
Brunei,BRN,75.114,http://dbpedia.org/resource/Brunei
Bhutan,BTN,72.253,http://dbpedia.org/resource/Bhutan
Botswana,BWA,67.643,http://dbpedia.org/resource/Botswana
Central African Republic,CAF,50.596,http://dbpedia.org/resource/Central_African_Republic
Canada,CAN,81.53,http://dbpedia.org/resource/Canada
Switzerland,CHE,83.0,http://dbpedia.org/resource/Switzerland
Chile,CHL,79.349,http://dbpedia.org/resource/Chile
China,CHN,78.019,http://dbpedia.org/resource/China
Ivory Coast,CIV,60.14,http://dbpedia.org/resource/Ivory_Coast
Cameroon,CMR,61.674,http://dbpedia.org/resource/Cameroon
Democratic Republic of the Congo,COD,60.428,http://dbpedia.org/resource/Democratic_Republic_of_the_Congo
Republic of the Congo,COG,64.391,http://dbpedia.org/resource/Republic_of_the_Congo
Colombia,COL,74.757,http://dbpedia.org/resource/Colombia
Comoros,COM,65.756,http://dbpedia.org/resource/Comoros
Cape Verde,CPV,73.818,http://dbpedia.org/resource/Cape_Verde
