country_name,country_code,population_density,dbpedia_uri
Afghanistan,AFG,59.9006163469942,http://dbpedia.org/resource/Afghanistan
Angola,AGO,26.8317413972888,http://dbpedia.org/resource/Angola
Albania,ALB,92.2802919708029,http://dbpedia.org/resource/Albania
Andorra,AND,164.63829787234,http://dbpedia.org/resource/Andorra
United Arab Emirates,ARE,132.371698113208,http://dbpedia.org/resource/United_Arab_Emirates
Argentina,ARG,16.5133665121004,http://dbpedia.org/resource/Argentina
Armenia,ARM,105.027376627853,http://dbpedia.org/resource/Armenia
Antigua and Barbuda,ATG,208.740909090909,http://dbpedia.org/resource/Antigua_and_Barbuda
Australia,AUS,3.33452695130798,http://dbpedia.org/resource/Australia
Austria,AUT,108.057004362579,http://dbpedia.org/resource/Austria
Azerbaijan,AZE,122.124736829369,http://dbpedia.org/resource/Azerbaijan
Burundi,BDI,491.317601246106,http://dbpedia.org/resource/Burundi
Belgium,BEL,378.38932248967,http://dbpedia.org/resource/Belgium
Benin,BEN,115.911395885066,http://dbpedia.org/resource/Benin
Burkina Faso,BFA,78.5039839181287,http://dbpedia.org/resource/Burkina_Faso
Bangladesh,BGD,1277.54493354844,http://dbpedia.org/resource/Bangladesh
Bulgaria,BGR,60.3417096536478,http://dbpedia.org/resource/Bulgaria
Bahrain,BHR,1875.41910828025,http://dbpedia.org/resource/Bahrain
The Bahamas,BHS,39.5467532467532,http://dbpedia.org/resource/The_Bahamas
Bosnia and Herzegovina,BIH,64.44041015625,http://dbpedia.org/resource/Bosnia_and_Herzegovina
Belarus,BLR,46.211212927382,http://dbpedia.org/resource/Belarus
Belize,BLZ,17.1333625602806,http://dbpedia.org/resource/Belize
Bolivia,BOL,10.9076885442629,http://dbpedia.org/resource/Bolivia
Brazil,BRA,24.9649852718428,http://dbpedia.org/resource/Brazil
Barbados,BRB,655.111627906977,http://dbpedia.org/resource/Barbados
Brunei,BRN,84.896394686907,http://dbpedia.org/resource/Brunei
Bhutan,BTN,20.1889355007866,http://dbpedia.org/resource/Bhutan
Botswana,BWA,4.17464048135797,http://dbpedia.org/resource/Botswana
Central African Republic,CAF,8.06868278275386,http://dbpedia.org/resource/Central_African_Republic
Canada,CAN,4.24162135453439,http://dbpedia.org/resource/Canada
Switzerland,CHE,218.63446962171,http://dbpedia.org/resource/Switzerland
Chile,CHL,26.0767352343796,http://dbpedia.org/resource/Chile
